centrourbano;departamento;sector;ambito;grado;0años;1año;2años;3años;4años;5años;6años;7años;8años;9años;10años;11años;12años;13años;14años;15años;16años;17años;18años;19años;20años;21años;22años;23años;24años;25años;26años;27años;28años;29años;30añosymás;TotalAlumnos
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;12°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2516;581;176;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3273
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;13°/14°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;502;20;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;522
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;2°;     ;     ;     ;     ;     ;     ;     ;3821;226;5;1;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4055
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;20°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;39;6;10;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;58
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;3°;     ;     ;     ;     ;     ;     ;     ;     ;4012;317;10;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4340
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;4°;     ;     ;     ;     ;     ;     ;     ;     ;     ;3901;247;41;3;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4193
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;5°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4006;218;34;5;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4263
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;6°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3946;181;51;5;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4185
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;7°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3989;567;163;84;32;19;10;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4864
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;8°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3820;779;231;80;32;8;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4953
